Data,Salário mínimo real - R$ (do último mês) - Instituto de Pesquisa Econômica Aplicada - GAC12_SALMINRE12,
1940.07,1019.79656456941,
1940.08,1016.94910706961,
1940.09,1016.03467586134,
1940.10,1000.13256802967,
1940.11,977.646694066149,
1940.12,994.65529969086,
1941.01,968.883011582757,
1941.02,929.027722296247,
1941.03,961.129445785488,
1941.04,949.357413853703,
1941.05,914.95510201783,
1941.06,892.377940132481,
1941.07,906.519646619748,
1941.08,894.532905683587,
1941.09,887.257395044223,
1941.10,899.764116260242,
1941.11,882.208173605489,
1941.12,893.82793678368,
1942.01,902.036468648376,
1942.02,897.548725023266,
1942.03,899.077156188785,
1942.04,857.816197107895,
1942.05,841.821586955738,
1942.06,812.804467467157,
1942.07,789.743944293779,
1942.08,779.532074122773,
1942.09,763.64819173469,
1942.10,772.923270986528,
1942.11,770.765128626372,
1942.12,772.387141623782,
1943.01,758.357527367488,
1943.02,747.887107857481,
1943.03,748.93561772229,
1943.04,726.34624936698,
1943.05,723.452439608545,
1943.06,726.868722604785,
1943.07,881.437624423734,
1943.08,879.766068892837,
1943.09,861.839801031381,
1943.10,827.180920463945,
1943.11,826.189493072257,
1943.12,1025.88637508564,
1944.01,928.824241815877,
1944.02,916.761636283353,
1944.03,888.760711101576,
1944.04,884.020092209304,
1944.05,862.419684662408,
1944.06,850.489730713856,
1944.07,853.345604187278,
1944.08,848.974334751665,
1944.09,847.464329425868,
1944.10,802.166431747933,
1944.11,774.460530865839,
1944.12,743.059393452701,
1945.01,735.3192216478,
1945.02,740.749077150803,
1945.03,724.557030093028,
1945.04,732.07121202609,
1945.05,732.07121202609,
1945.06,739.742799271865,
1945.07,734.186183280423,
1945.08,724.557030093028,
1945.09,726.628825506363,
1945.10,709.982276182899,
1945.11,704.862214792647,
1945.12,699.943911440159,
1946.01,681.54744379662,
1946.02,679.724427122638,
1946.03,681.54744379662,
1946.04,674.075124413803,
1946.05,666.881538362804,
1946.06,654.514963711116,
1946.07,645.100177137073,
1946.08,607.763894874608,
1946.09,584.736484220416,
1946.10,563.389850760756,
1946.11,548.395159311374,
1946.12,537.644057784044,
1947.01,508.863413636452,
1947.02,501.16955903452,
1947.03,493.640954986822,
1947.04,492.620139585963,
1947.05,499.593357109342,
1947.06,509.952732481674,
1947.07,531.348594862452,
1947.08,532.462025890972,
1947.09,522.320799891032,
1947.10,517.428598346962,
1947.11,515.260182415272,
1947.12,507.846395390677,
1948.01,500.117402110656,
1948.02,498.833403645673,
1948.03,498.193873640999,
1948.04,496.919720511483,
1948.05,493.762670190571,
1948.06,490.02676095836,
1948.07,488.793989232679,
1948.08,486.956417844586,
1948.09,485.132611036179,
1948.10,483.322414726343,
1948.11,482.123103523548,
1948.12,480.335255179208,
1949.01,475.631849987735,
1949.02,471.591288155315,
1949.03,467.056756538437,
1949.04,462.608596952356,
1949.05,458.785385407296,
1949.06,454.492656654947,
1949.07,452.903521491818,
1949.08,451.850257488348,
1949.09,450.279514994182,
1949.10,447.685738986151,
1949.11,445.121674043504,
1949.12,442.586812574008,
1950.01,441.0797065153,
1950.02,440.080658482423,
1950.03,438.590543385981,
1950.04,438.590543385981,
1950.05,448.71965524247,
1950.06,448.71965524247,
1950.07,437.110485309313,
1950.08,436.12931699212,
1950.09,434.66579579416,
1950.10,430.810666784899,
1950.11,427.493092893267,
1950.12,423.7636002617,
1951.01,415.605584427785,
1951.02,407.328324360565,
1951.03,399.785207242777,
1951.04,394.508854253786,
1951.05,389.369961362705,
1951.06,384.36322595448,
1951.07,382.471674645649,
1951.08,380.598649794299,
1951.09,378.743880545789,
1951.10,375.088051582992,
1951.11,371.147298414498,
1951.12,367.635971087965,
1952.01,1124.7755939215,
1952.02,1091.75282292558,
1952.03,1059.69790411775,
1952.04,1052.42724954405,
1952.05,1045.25568395942,
1952.06,1038.1811954047,
1952.07,1033.80806484276,
1952.08,1029.47162161775,
1952.09,1025.1714059886,
1952.10,1016.67785664321,
1952.11,1008.32388904549,
1952.12,999.291671798336,
1953.01,982.490130479068,
1953.02,966.244230683745,
1953.03,950.526857450315,
1953.04,941.050746141378,
1953.05,931.761710682124,
1953.06,923.34851239154,
1953.07,912.364440868667,
1953.08,902.301597770851,
1953.09,891.809718727004,
1953.10,889.869596061173,
1953.11,887.937896503876,
1953.12,886.654749254593,
1954.01,861.143981030426,
1954.02,835.919736354466,
1954.03,813.746799050635,
1954.04,802.570420515603,
1954.05,791.696885786037,
1954.06,781.611575139081,
1954.07,1542.58978374401,
1954.08,1522.494011127,
1954.09,1502.9150924291,
1954.10,1483.83334095328,
1954.11,1465.23005727565,
1954.12,1447.94120704231,
1955.01,1404.84278531008,
1955.02,1363.47796996484,
1955.03,1326.62721401985,
1955.04,1313.84386827447,
1955.05,1300.61491570573,
1955.06,1288.32564091166,
1955.07,1276.26643054432,
1955.08,1264.43088404777,
1955.09,1252.81283610859,
1955.10,1234.53739735247,
1955.11,1216.78747939352,
1955.12,1200.12730852651,
1956.01,1163.15656205532,
1956.02,1127.35890947943,
1956.03,1096.14128894003,
1956.04,1082.60271104399,
1956.05,1068.92872209787,
1956.06,1056.05006279549,
1956.07,1037.30361197664,
1956.08,1613.75091960125,
1956.09,1586.73426476105,
1956.10,1561.86182250796,
1956.11,1537.75710898291,
1956.12,1514.97552218316,
1957.01,1464.72378982277,
1957.02,1416.14876618069,
1957.03,1373.11385667838,
1957.04,1365.87424056232,
1957.05,1358.71056447546,
1957.06,1351.15167399159,
1957.07,1348.80673877119,
1957.08,1346.46992875946,
1957.09,1343.6764226832,
1957.10,1337.66341287429,
1957.11,1331.70398026038,
1957.12,1325.79741194125,
1958.01,1298.33351633806,
1958.02,1271.56813298423,
1958.03,1246.68341815842,
1958.04,1231.27763447396,
1958.05,1216.24795442873,
1958.06,1201.58077130482,
1958.07,1190.17219430316,
1958.08,1178.97822038829,
1958.09,1167.99285073634,
1958.10,1151.72264801417,
1958.11,1135.89950727852,
1958.12,1120.82844372651,
1959.01,1685.15541467778,
1959.02,1608.29642590873,
1959.03,1538.52830111379,
1959.04,1511.98887748689,
1959.05,1486.34953121168,
1959.06,1461.56523697994,
1959.07,1443.68255643336,
1959.08,1426.23218615569,
1959.09,1409.19863684929,
1959.10,1378.17854106959,
1959.11,1348.19838823155,
1959.12,1319.77863300533,
1960.01,1272.69256686202,
1960.02,1228.85056375762,
1960.03,1186.77966437946,
1960.04,1168.69540282701,
1960.05,1151.15400841309,
1960.06,1133.92180093177,
1960.07,1120.05309690431,
1960.08,1106.51954280285,
1960.09,1093.11435325883,
1960.10,1708.79745583061,
1960.11,1670.41711481145,
1960.12,1633.72297948858,
1961.01,1571.22941481224,
1961.02,1513.57406471583,
1961.03,1459.78310538987,
1961.04,1427.31046579629,
1961.05,1396.44969896826,
1961.06,1366.70491211846,
1961.07,1344.98443399738,
1961.08,1323.76501938334,
1961.09,1303.20475026508,
1961.10,1751.70251558063,
1961.11,1684.29631583893,
1961.12,1621.88552481067,
1962.01,1518.32279465816,
1962.02,1427.19189379498,
1962.03,1346.38106752014,
1962.04,1302.73534950196,
1962.05,1261.83051204973,
1962.06,1223.41623083903,
1962.07,1192.31872449429,
1962.08,1162.76293885327,
1962.09,1134.73067513587,
1962.10,1101.00600314393,
1962.11,1092.25605477594,
1962.12,1039.31170124362,
1963.01,1507.84847822962,
1963.02,1407.25937267014,
1963.03,1319.17058952923,
1963.04,1275.90624603091,
1963.05,1235.38963510017,
1963.06,1197.36704917459,
1963.07,1156.42315707842,
1963.08,1118.18682775039,
1963.09,1082.3980860356,
1963.10,1040.94900760767,
1963.11,1002.60413777237,
1963.12,966.853272115002,
1964.01,895.080778048779,
1964.02,1675.68788006292,
1964.03,1572.14964141779,
1964.04,1521.90057240681,
1964.05,1473.44869648676,
1964.06,1429.41245561596,
1964.07,1375.75053825852,
1964.08,1325.97190744011,
1964.09,1278.56501708421,
1964.10,1220.01920389424,
1964.11,1166.56859749281,
1964.12,1116.99451389802,
1965.01,1039.06026500285,
1965.02,971.291889321166,
1965.03,1433.2892928977,
1965.04,1374.19390628456,
1965.05,1319.77863300533,
1965.06,1269.60420453837,
1965.07,1225.48134352434,
