Data,Importações - preços - índice (média 2018 = 100) - - - Fundação Centro de Estudos do Comércio Exterior (Funcex) - FUNCEX12_MDPT12,
2004.02,66.54,
2004.03,66.63,
2004.04,67.24,
2004.05,67.79,
2004.06,71.03,
2004.07,69.72,
2004.08,70.89,
2004.09,70.78,
2004.10,74.43,
2004.11,72.92,
2004.12,72.73,
2005.01,72.85,
2005.02,73.52,
2005.03,74.5,
2005.04,76.9,
2005.05,76.92,
2005.06,77.69,
2005.07,77.28,
2005.08,79.31,
2005.09,79.31,
2005.10,80.97,
2005.11,80.15,
2005.12,79.49,
2006.01,79.34,
2006.02,79.61,
2006.03,82.02,
2006.04,82.48,
2006.05,83.83,
2006.06,84.39,
2006.07,83.32,
2006.08,84.49,
2006.09,84,
2006.10,83.3,
2006.11,83.2,
2006.12,81.96,
2007.01,81.61,
2007.02,82.53,
2007.03,81.91,
2007.04,85.45,
2007.05,86.92,
2007.06,88.59,
2007.07,89.18,
2007.08,90.84,
2007.09,90.74,
2007.10,91.48,
2007.11,93.69,
2007.12,95.01,
2008.01,96.22,
2008.02,100.14,
2008.03,103.03,
2008.04,107.07,
2008.05,107.31,
2008.06,112.24,
2008.07,116.22,
2008.08,115.47,
2008.09,114.93,
2008.10,110.52,
2008.11,106.86,
2008.12,99.76,
2009.01,101.57,
2009.02,94.73,
2009.03,94.76,
2009.04,93.19,
2009.05,93.23,
2009.06,95.63,
2009.07,96.22,
2009.08,96.12,
2009.09,96.19,
2009.10,96.78,
2009.11,96.95,
2009.12,95.99,
2010.01,94.87,
2010.02,97.46,
2010.03,96.71,
2010.04,99.05,
2010.05,100.55,
2010.06,100.16,
2010.07,98.33,
2010.08,100.86,
2010.09,98.85,
2010.10,100.55,
2010.11,102.31,
2010.12,102.59,
2011.01,105.67,
2011.02,107.5,
2011.03,111.6,
2011.04,115.61,
2011.05,116.64,
2011.06,115.89,
2011.07,116.36,
2011.08,117.74,
2011.09,115.43,
2011.10,114.91,
2011.11,115.12,
2011.12,116.25,
2012.01,113.98,
2012.02,115.38,
2012.03,117.41,
2012.04,118.73,
2012.05,117.51,
2012.06,114.69,
2012.07,112.94,
2012.08,111.99,
2012.09,113.31,
2012.10,112.71,
2012.11,113.69,
2012.12,113.26,
2013.01,113.8,
2013.02,115.28,
2013.03,115.48,
2013.04,116.52,
2013.05,116.15,
2013.06,114.49,
2013.07,112.89,
2013.08,112.51,
2013.09,113.21,
2013.10,112.19,
2013.11,113.08,
2013.12,113.59,
2014.01,111.04,
2014.02,112.13,
2014.03,113.62,
2014.04,113.93,
2014.05,113.18,
2014.06,114.04,
2014.07,112.79,
2014.08,112.73,
2014.09,110.95,
2014.10,110.5,
2014.11,110.4,
2014.12,106.83,
2015.01,105.04,
2015.02,101.87,
2015.03,98.29,
2015.04,100.5,
2015.05,100.68,
2015.06,99.14,
2015.07,98.49,
2015.08,98.87,
2015.09,96.74,
2015.10,96.79,
2015.11,93.58,
2015.12,94.1,
2016.01,91.38,
2016.02,90.28,
2016.03,88.93,
2016.04,91,
2016.05,86.33,
2016.06,88.38,
2016.07,90.16,
2016.08,90.73,
2016.09,90.06,
2016.10,90.79,
2016.11,90.3,
2016.12,90.5,
2017.01,90.42,
2017.02,92.28,
2017.03,93.78,
2017.04,95.26,
2017.05,94.36,
2017.06,94.1,
2017.07,93.29,
2017.08,93.4,
2017.09,92.41,
2017.10,94.43,
2017.11,95.38,
2017.12,96.63,
2018.01,95.76,
2018.02,98.3,
2018.03,99.77,
2018.04,102.4,
2018.05,101.76,
2018.06,100.55,
2018.07,99.91,
2018.08,100.21,
2018.09,100.59,
2018.10,99.72,
2018.11,99.63,
2018.12,101.4,
2019.01,96.97,
2019.02,96.93,
2019.03,97.3,
2019.04,97.18,
2019.05,98.16,
2019.06,96.1,
2019.07,98.37,
2019.08,95.11,
2019.09,93.88,
2019.10,94.2,
2019.11,94.68,
2019.12,94.4,
2020.01,91.78,
2020.02,91.8,
2020.03,93.08,
2020.04,89.97,
2020.05,86.07,
2020.06,89.36,
2020.07,89.99,
2020.08,89.63,
2020.09,87.45,
2020.10,87.22,
2020.11,84.89,
2020.12,87.91,
2021.01,87.91,
2021.02,88.62,
2021.03,92.44,
2021.04,97.51,
2021.05,99.24,
2021.06,101.59,
2021.07,102.04,
2021.08,108.26,
2021.09,106.83,
2021.10,109.2,
2021.11,113.02,
